DDB_ID,Mention_ID,Grain_Index,Candidate_Rank,Is_Primary,Block_Tag,Title,Place,Date_Text,Date_When,Date_NotBefore,Date_NotAfter,Grain_Form,Qty_Value,Qty_Unit,Price_Value,Price_Cur,Score,Dist_GP,Dist_GQ,Span_Toks,Lines_Crossed,Priceword_Near,Pos_Signal_Near,Ambiguous,AltScore,Alt_Qty,Alt_Price,Context_Window,Context_Type,Signal_Type,Signal_Strength,Neg_Signals,Rejection_Reason
bgu;6;1292,1,3,1,yes,ab,Privatrechnung,Eunikon (?),8. Apr. 79 v.Chr.,-0079-04-08,,,πυρου,659.833333,αρταβαι,8,δραχμασ,28.25,25,1,25,0,no,yes,no,,,,"πυροῦ ἀρτάβας 223 1/2 1/3
γίνονται το πυροῦ ἀρτάβαι 659 1/2 1/3
καὶ χαλκοῦ λόγου Νίκων
ὥστε Διογένει Διογενης ὑπὲρ Ὀνησίμου
ἔτους 35 Φα ῶφ ι 10 Διογένο υς δραχμὰς 8 1800
11 Διογένης ἀργ υρίου δραχμὰς",PRICE,sale_verb,0.5,,
cpr;7;31,1,1,1,yes,ab,Lieferungsvertrag mit Vorausbezahlung,Hermopolis,29. Aug. 196 - 24. Juni 197,,0196-08-29,0197-06-24,πυρου,,,248,δραχμασ,26.67,20,-1,20,0,no,yes,no,,,,"χρῆσιν ἔντ ο κον
εἰ ς τιμὴν πυροῦ γενήμ ατος τοῦ ἐνεστ ῶτος 5 ἔτους κεφα λ αίου καὶ
τό κο υ ἀ ρ γ υρίου δραχμὰς 248 γίνεται κεφαλ αίου καὶ τόκ ου δραχμὰς",PRICE,priceword_ext,0.6,,
o.ashm;;91,1,1,1,yes,ab,keiner,unbekannt,I - IV,,0001,0400,πυρου,2,αρταβαι,18,δραχμαι,29.29,5,1,5,0,no,no,no,,,,τι μ ὴ πυροῦ ἀρτάβαι 2 κέρμ ατος δραχμαὶ 18 χ,OTHER,,0.0,,
o.bodl;1;135,1,1,1,yes,ab,keiner,Theben (?),16. Nov. 154 v.Chr. (Jahr unsicher),-0154-11-16,,,πυρου,,,8,χαλκου,39.2,6,-1,6,0,yes,yes,no,,,,"χαί ρειν . ἔχομεν
παρὰ σοῦ τιμὴν πυροῦ
ἀρτ αβῶν ὀκτὼ ὀκτὼι 8 χαλκοῦ
κο σίας
ἔτους 28 Φαῶφι",PRICE,priceword_ext,0.6,,
o.bodl;2;2266,1,1,1,yes,ab,keiner,Theben,II - III,,0101,0300,πυρου,38,αρταβ,10,δραχμων,27.83,5,1,5,0,no,no,no,,,,"5 π γίν
τιμ ῆς πυροῦ ἀρταβ 38 ἐ κ δραχμῶν 10
γίνονται δραχμαὶ 380 ὁμ οίως καὶ",OTHER,,0.0,,
o.bodl;2;979,1,2,1,yes,ab,keiner,Theben,22. Okt. 175 (Jahr unsicher),0175-10-22,,,πυρου,1,αρταβησ,12,δραχμαι,28.89,15,1,15,0,no,yes,no,,,,"ὀνό ματος Μέλανος Μελας Τηιονχώνσιο ς
ἀπὸ πυροῦ ἀρτάβης 1/2 1/12 ἐ π ὶ λ ό γου δραχ μὰς
δώδεκα γίνονται δραχμαὶ 12 . Πα σ εσ η μείωμαι .",PRICE,priceword_ext,0.6,,
o.edfou;1;26,1,1,1,yes,ab,keiner,Apollonopolis,15. Sept. 68,0068-09-15,,,πυρου,1.5,αρταβησ,9,δραχμασ,47.29,5,1,5,0,yes,yes,no,,,,"Διο φάνης Νίκω
νος τιμῆς πυροῦ ἀρτάβης 1 1/2
δραχμὰς 9 2 ἔτους 2 Γάλβα
τοῦ κυρίου",PRICE,priceword_ext,0.6,,
o.petr.mus;;282,1,4,1,yes,ab,Ricevuta di τιμὴ πυροῦ ἀρταβῶν διοικήσεως,Koptos,25. Jan. 4 v.Chr.,-0004-01-25,,,πυρου,7.166667,αρταβων,0.166667,δραχμασ,29.59,3,1,3,0,no,no,no,,,,"φις Ὥ ρο υ
πυροῦ ἀρταβῶν γίνονται πυροῦ ἀρταβῶν 7 1/6 δραχμάς 25 ἡμιωβέλιον 1/2 καὶ κρ ιθῆς κρ",OTHER,,0.0,,
o.petr.mus;;285,1,3,1,yes,ab,Ricevuta di τιμὴ πυροῦ ἀρταβῶν διοικήσεως,Koptos,25. Jan. 4 v.Chr.,-0004-01-25,,,πυρου,1,αρταβησ,3,δραχμασ,26.97,5,3,5,0,no,no,no,,,,"αρχίας Ἁρ υώθ ης
Π εταρπαή σιος πυροῦ ἀρτάβης ρο ἀρτάβης 1 δραχμὰς 3 3
ὑ π οκ ειμένων κρ",OTHER,,0.0,,
o.wilb;;76,1,1,1,yes,ab,Administration de biens confisqués par l’État,Oberägypten,117 - 161 (?),,0117,0161,πυρου,11,αρταβαι,5,δραχμων,43.23,11,1,11,0,no,yes,no,,,,"περιγενόμεναι
ἐξ ἐπιτηρ ήσεως ἡμῶν φοινίκ ων πυροῦ ἀρτάβαι 11
αἱ καὶ πραθ εῖσαι πυροῦ ἀρτάβαι ἐκ δραχμῶν 5 γίνονται δραχμαὶ 55
καὶ ὁμ οίως",PRICE,rate_construction,0.8,,
o.wilb;;76,1,2,1,yes,ab,Administration de biens confisqués par l’État,Oberägypten,117 - 161 (?),,0117,0161,πυρου,11,αρταβαι,5,δραχμων,51.69,3,7,10,0,no,yes,no,,,,"ἐξ ἐπιτηρ ήσεως ἡμῶν φοινίκ ων πυροῦ ἀρτάβαι 11
αἱ καὶ πραθ εῖσαι πυροῦ ἀρτάβαι ἐκ δραχμῶν 5 γίνονται δραχμαὶ 55
καὶ ὁμ οίως",PRICE,rate_construction,0.8,,
p.abinn;;68v,1,1,1,yes,ab,keiner,Andromachis und Hermopolis (Arsinoites),ca. 348 - 351,0348,,,σιτου,3,αρταβασ,150,ταλαντα,26.97,5,3,5,0,no,no,no,,,,"15
ὧν ἔλαβε ἐλαβι ὁ σακκᾶς·
σίτου ἀρτάβας τρεῖς ἀρτάβας 3 τάλαντα 150
ἄλλην τά λα ντα 50 .",OTHER,,0.0,,
p.abinn;;68v,1,2,1,yes,ab,keiner,Andromachis und Hermopolis (Arsinoites),ca. 348 - 351,0348,,,σιτου,1,αρταβην,50,ταλαντα,29.29,5,1,6,0,no,no,no,,,,"16 160000
ὁ αὐτὸς Ἀνοῦτις ἀρτάβην 1 τάλαντα 50
ὁ αὐτὸς σίτου ἀρτάβην 1
ὁ αὐτὸς ἄλλην ἀρτάβην 1",OTHER,,0.0,,
