DDB_ID,XML_RelPath,Title,Place,Date_Text,Date_When,Date_NotBefore,Date_NotAfter,Score,Block_Match_Count,Grain_Hits,Unit_Hits,Money_Hits,Priceword_Hit,Number_Type_Summary,Num_Tag_Values,Num_Tag_Texts,Snippet_1,Snippet_2,Snippet_3
p.oxy;4;739,p.oxy/p.oxy.4/p.oxy.4.739.xml,Private Account,Oxyrhynchos,ca. 1,0001,,,3,1,σιτ,,δραχμ;οβολ;𐅵,yes,num_tag,1;1/2;13;2;20;22;28;3;4;40;5;6;7;9,α;γ;δ;διώβολον;ε;ζ;θ;ιγ;κ;κβ;κη;μ;πεντώβολον;τετρώβολον;τριώβολον;ϛ;ὀβολὸς;𐅵,"ἔχει Ἰσᾶς παρὰ Ἀπολλωνίου ἀπὸ Κύνου δραχμὰς δ ὧν δαπάνης· τιμῆς χι Νεχθεῦτι δραχμαὶ κη, σιτοποιήτρωνσειτοποήτρων δραχμὴ α τετρώβολον, ἐλαίου δραχμαὶ δ διώβολον. δ. ἄλεστρα πεντώβολον, κονίου εἰς προσφάγιονπροσφαγιου ὀβολὸς. ε. κοφίνων γ ὀβολοὶ δ 𐅵. ϛ. βατανίων διώβολον, προσφαγίου οἰκοδόμου ὀβολὸς, ",,
p.oxy;4;740,p.oxy/p.oxy.4/p.oxy.4.740.xml,Account of Corn,Oxyrhynchos,ca. 200 - 201,,0200,0201,3,2,πυρ;σιτ,αρταβ;μετρ;χοινι,𐅵,no,num_tag,1;1/2;1/4;15;16;2;22;24;26;28;3;30;49;52;7;8;9,α;β;γ;δ;ζ;η;θ;ιε;ιϛ;κβ;κδ;κη;κϛ;λ;μθ;νβ;𐅵,"μιᾶς ἀντὶ μιᾶς μέτρῳ σιτολογικῷ Ἡρωνυ ἀρτάβαι Σερύφεως· μέτρῳ δημοσίῳ μιᾶς ἀντὶ μιᾶς ἐμβ ἀρτάβαι κβ χοίνικες ζ, καὶ ἐδόθησαν ὑπὲρ φορέτρου ὀνηλατῶν ἀρτάβαι χοίνικες γ. Πέλα· ἰδιωτικῶς μέτρῳ δημοσίῳ διὰ Πασαλύμιος γεωργοῦ Πέλα θέματος ἀπὸ ἀρταβῶν κϛ τὸ τρίτον ἀρτάβαι η 𐅵 χοίνικες ζ, καὶ ἐδόθη ὑπὲρ φο","λοιπαὶ ἰδιωτικῶς πυροῦ ἀρτάβαι καὶ ἐν θέματι ὁμοίως διδομένου ὑπὸ γεωργῶν κατὰ μίσθωσιν ἀρτάβαι Θώλθεως· ἐμετρήθησαν διὰ Ἡρᾶτος γεωργοῦ Θεωνος κωμῶνΘεω πυροῦ ἀρτάβαι ὁ αὐτὸς ἀπὸ σπερμάτων θ ἔτους πυροῦ ἀρτάβαι γ, γίνονται πυροῦ ἀρτάβαι Πέλα· ἐν πεδίοις ΣενοκώμεωςΣενοκωμ παρὰ Διογένους τοῦ Σαραπίωνος",
p.oxy;50;3589,p.oxy/p.oxy.50/p.oxy.50.3589.xml,Lease of Land,Oxyrhynchites,II,,0101,0200,3,1,πυρ,αρταβ;μετρ,δραχμ,no,num_tag,100;24;4;8;80,,"ἐμίσθωσεν Ἀπολλώνιος Ἀπολλωνίου τοῦ Διογένους ἀπὸ Ὀξυ ρύγχων πόλεως Θοτεῖ Ζωΐλου τοῦ Θοτέως ἀπὸ τοῦ πρότερον Σαραπίω νος Χαιρήμονος ἐποικίου περὶ Σενεψαοὺ εἰς ἔτη τέσσαρα ἀπὸ τοῦ εἰσιόντος δωδεκάτου ἔτους ἃς ἔχει περὶ Κερκεθῶνιν ἀρού ρας ὀκτώ , ὥστε τῷ πρώτῳ καὶ τρίτῳ ἔτεσιἔτεσει κατʼ ἔτος ξυλαμῆ σα",,
p.oxy;50;3591,p.oxy/p.oxy.50/p.oxy.50.3591.xml,Lease of Land,Oxyrhynchos,18. Sept. 219,0219-09-18,,,3,1,πυρ,μετρ,μνα,no,num_tag,1/2;10;20;208;27;3;4,γ;κ,ἐμίσθωσεναμισθωσεν Αὐρήλιος Διοσκουρίδης ὁ καὶ Κά στωρ γυμνασιαρχήσας βουλευτὴς τῆς Ὀξυρυγχει τῶν πόλεως Αὐρηλίῳ Σα ραπίωνι ἈθηνοδώρουἈθηνοδώρω τοῦ Σαραπίωνος ἀπὸ τῆς αὐτῆς πόλεως εἰς ἔτη τέσσαρα ἀπὸ τοῦ ἐνεστῶ τος γ ἔτους τὰς ὑπαρχούσας αὐτῷ καὶ τοῖς κοινωνοῖς αὐτοῦ περὶ Μερμέρθα ἐκ Μετόκου καὶ Μετ,,
p.oxy;50;3592,p.oxy/p.oxy.50/p.oxy.50.3592.xml,Lease of Land,Oxyrhynchos,218 - 261 (?),,0218,0261,3,1,πυρ,αρταβ,δραχμ,no,num_tag,1/2;1/4;2;24;4;5;96,β,ἐμίσθωσεν Αὐρήλιος Ζωΐλος Διογένους ἀπʼ Ὀξυρύγχων πόλεως Αὐρηλίῳ Θώνει Πτολλᾶτος μητρὸς Ταϋσείριος ἀπὸ κώμης Μερμέρθων ἱερεῖ Μένδητος θεοῦ μεγίστου εἰς ἔτη τέσσαρα ἀπὸ τοῦ ἐνεστῶτος β ἔτους τὰς ὑπαρχούσας αὐτῷ περὶ τὴν αὐτὴν Μερμέρθα ἐκ τῶντου Σπαρτάκου καὶ Ἑρ μοκράτους κλήρων ἀρούρας πέν τε ἥμισυ τ,,
p.oxy;51;3628,p.oxy/p.oxy.51/p.oxy.51.3628.xml,Commodity Prices,Oxyrhynchos,V,,0401,0500,3,2,κριθ;σιτ,αρταβ,δηναρ;𐅵,no,num_tag,1;1/2;1/4;10;12;13;14;15;150;15000;1500000;165;1650000;18;24;240000;3900;39000000;4;4000;40000000;5;8;80;800000;9,Γϡ;Δ;α;δ;ε;η;θ;ι;ιβ;ιγ;ιδ;ιε;ιη;κδ;π;ρν;ρξε;𐅵,"Κυνοπολίτου ἐπὶ μηνὸς Θώθ, Φαῶφι, Ἁθύρ, Χοίακ οὕτως χρυσοῦ τοῦ νομίσματος α δηναρίων μυριάδες Δ ἀργύρου τῆς λίτρας α νομίσματα ε ἀργύρου ἀργοῦ τῆς λίτρας α νομίσματα δ 𐅵 δ σίτου τοῦ νομίσματος α ἀρτάβαι ιγ κριθῶν τοῦ νομίσματος α ἀρτάβαι ιδ φακοῦ τοῦ νομίσματος α ἀρτάβαι ι ἀχύρου τῆς λίτρας α δηναρί",κριθῶν τοῦ νομίσματος α ἀρτάβαι ιδ φακοῦ τοῦ νομίσματος α ἀρτάβαι θ ἀχύρου τῆς λίτρας α δηναρίων μυριὰς α 𐅵 οἴνου διὰ ξεστῶν η δηναρίων μυριάδες ρξε κρέως τῆς λίτρας α δηναρίων μυριάδες κδ ἁλὸς τῆς ἀρτάβης α δηναρίων μυριάδες ρν ἐλαίου ῥαφανίνουῥεφανίνου τοῦ ξέστου α δηναρίων μυριάδες π ἐπὶ μηνὸς Πα,
p.oxy;51;3629,p.oxy/p.oxy.51/p.oxy.51.3629.xml,Commodity Prices,Oxyrhynchos,V,,0401,0500,3,2,κριθ;σιτ,αρταβ,δηναρ;𐅵,no,num_tag,1;1/2;1/4;12;13;15;150;15000;1500000;180;1800000;24;240000;30000;38000;380000000;3850;38500000;4;5;8;80;8000;800000,Γων;α;γ;γ η;δ;ε;η;ιβ;ιγ;ιε;κδ;π;ρν;ρπ;𐅵,"Ὀξυρυγχίτου ἐπὶ μηνὸς Θώθ, Φαῶφι, Ἁθύρ, Χοίακ οὕτως χρυσοῦ τοῦ νομίσματος α δηναρίων μυριάδες γ η ἀργύρου τῆς λίτρας α νομίσματα ε ἀργύρου ἀργοῦ τῆς λίτρας α νομίσματα δ 𐅵 δ σίτου τοῦ νομίσματος α ἀρτάβαι ιβ κριθῶν τοῦ νομίσματος α ἀρτάβαι ιγ φακοῦ τοῦ νομίσματος α ἀρτάβαι η κρέως τῆς λίτρας α δηναρ","κρέως τῆς λίτρας α δηναρίων μυριάδες κδ ἀχύρου τῆς λίτρας α δηναρίων μυριὰς α 𐅵 οἴνου διὰ ξεστῶν η δηναρίων μυριάδες ρπ ἁλὸς τῆς ἀρτάβης α δηναρίων μυριάδες ρν ἐλαίου ῥαφανίνουῥεφανίνου τοῦ ξέστου α δηναρίων μυριάδες π ἐπὶ μηνὸς Παχών, Παῦνι, Ἐπείφ, Μεσορή οὕτως χρυσοῦ τοῦ νομίσματος α δηναρίων μυρι",
p.oxy;51;3630,p.oxy/p.oxy.51/p.oxy.51.3630.xml,Commodity Prices,Oxyrhynchos,V,,0401,0500,3,2,κριθ;σιτ,αρταβ,δηναρ;𐅵,no,num_tag,1;1/2;1/4;105;1050000;150;15000;1500000;165;1650000;200;270;2700000;30;300000;3900;39000000;4;400;4000000;430;4300000;450;4500000;5;500;5000000;7,Γϡ;α;δ;ε;ζ;λ;ρε;ρν;ρξε;σ;σο;υ;υλ;υν;φ;𐅵,"λ ἐπὶ μηνὸς Θώθ, Φαῶφι, Ἁθύρ, Χοίακ οὕτως χρυσοῦ τοῦ νομίσματος α δηναρίων μυριάδες Γϡ ἀργύρου τῆς λίτρας α νομίσματα ε ἀργύρου ἀργοῦ τῆς λίτρας α νομίσματα δ 𐅵 δ σίτου τῆς ἀρτάβης α δηναρίων μυριάδες υν κριθῶν τῆς ἀρτάβης α δηναρίων μυριάδες σο φακοῦ τῆς ἀρτάβης α δηναρίων μυριάδες υλ ἀχύρου τῆς λί","φακοῦ τῆς ἀρτάβης α δηναρίων μυριάδες δ ἀχύρου τῆς λίτρας α δηναρίων μυριὰς α 𐅵 οἴνου διὰ ξεστῶν ζ δηναρίων μυριάδες ρξε κρέως τῆς λίτρας α δηναρίων μυριάδες λ ἁλὸς τῆς ἀρτάβης α δηναρίων μυριάδες ρν ἐλαίου ῥαφανίνουῥεφανίνου τοῦ ξέστου α δηναρίων μυριάδες ρε ἐπὶ μηνὸς Παχών, Παῦνι, Ἐπείφ, Μεσορή οὕ",
p.oxy;51;3631,p.oxy/p.oxy.51/p.oxy.51.3631.xml,Commodity Prices,Oxyrhynchos,V,,0401,0500,3,1,σιτ,αρταβ,δηναρ;𐅵,no,num_tag,1;1/2;1/4;105;1050000;150;15000;1500000;200;2000000;30;300000;3900;39000000;4;400;4000000;450;5,Γϡ;α;δ;ε;λ;ρε;ρν;σ;υ;υν;𐅵,"φακοῦ τῆς ἀρτάβης α δηναρίων μυριάδες υ ἀχύρου τῆς λίτρας α δηναρίων μυριὰς α 𐅵 κρέως τῆς λίτρας α δηναρίων μυριάδες λ ἁλὸς τῆς ἀρτάβης α δηναρίων μυριάδες ρν ἐλαίου ῥαφανίνουῥεφανίνου τοῦ ξέστου α δηναρίων μυριάδες ρε οἴνου διπλοῦ μεγάλου δηναρίων μυριάδες σ ἐπὶ μηνὸς Παχών, Παῦνι, Ἐπείφ, Μεσορή οὕ",,
p.oxy;51;3632,p.oxy/p.oxy.51/p.oxy.51.3632.xml,Commodity Prices,Oxyrhynchos,V,,0401,0500,3,2,κριθ;σιτ,αρταβ,δηναρ;𐅵,no,num_tag,1;1/2;1/4;150;15000;1500000;160;1600000;190;1900000;220;2200000;225;2250000;24;240;240000;2400000;360;3600000;4;4000;40000000;5;7;75;750000;8;85;850000,Δ;α;δ;ε;ζ;η;κδ;οε;πε;ρν;ρξ;ρϙ;σκ;σκε;σμ;τξ;𐅵,"Ἀρσινοΐτου ἐπὶ μηνὸς Θώθ, Φαῶφι, Ἁθύρ, Χοίακ οὕτως χρυσοῦ τοῦ νομίσματος α δηναρίων μυριάδες Δ ἀργύρου τῆς λίτρας α νομίσματα ε ἀργύρου ἀργοῦ τῆς λίτρας α νομίσματα δ 𐅵 δ σίτου τῆς ἀρτάβης α δηναρίων μυριάδες σμ κριθῶν τῆς ἀρτάβης α δηναρίων μυριάδες σκε οἴνου διὰ ξεστῶν η δηναρίων μυριάδες ρξ ἐλαίο",κριθῶν τῆς ἀρτάβης α δηναρίων μυριάδες σκε φακοῦ τῆς ἀρτάβης α δηναρίων μυριάδες τξ οἴνου διὰ ξεστῶν η δηναρίων μυριάδες ρϙ ἐλαίου ῥαφανίνουῥεφανίνου τοῦ ξέστου α δηναρίων μυριάδες οε κρέως τῆς λίτρας α δηναρίων μυριάδες κδ ἁλὸς τῆς ἀρτάβης α δηναρίων μυριάδες ρν ἀχύρου τῆς λίτρας α δηναρίων μυριὰς ,
