DDB_ID,Mention_ID,Grain_Form,Context_Type,Signal_Strength,Neg_Signals,Rejection_Reason,Context_Window
p.lille;1;31,2,πυρ,TAX,0.0,TAX,no_positive+negative(TAX),"Με χεὶρ
καὶ σῖτος μεμέτρηται
Ἐπεὶφ, πυρ ῶν 1/2 1/4
λοιπὸν ἀργυρίου κ"
p.oxy;10;1254,1,πυρου,TAX,0.0,TAX,no_positive+negative(TAX),"τὴν λαμπροτάτην Ἀλεξ ά ν
δρειαν δημοσίου πυροῦ ἴσον
δημοσίᾳ πρόκιται, ἵνα πάντες
εἰδῶσι"
p.oxy;10;1254,1,πυρου,TAX,0.0,TAX,no_positive+negative(TAX),"ἔτους .
εἰς δειγματοκαταγωγίαν διγματοκαταγωγίαν δημοσίου
πυροῦ καταγομένου εἰς τὴν λαμ
προτάτην Ἀλεξάνδριαν"
p.oxy;14;1652A,1,κριθ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"ἐρήμ ων δραχμαὶ 21 ,
ναύλ ου κριθ ῆς Ἀλ ε ξ ανδρείας δραχμαὶ 518 ,"
p.oxy;14;1652B,1,κριθ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"ἐρήμ ων δραχμαὶ 66 ,
ναύλ ου κριθ ῆς δραχμαὶ 1631 ,
ἐρήμ ων δραχμαὶ"
p.petr;3;108,1,πυρου,SEED,0.0,SEED,no_positive+negative(SEED),"ἄρουραι 61 δραχμαὶ 10 1
σπέρμα πυροῦ
πέπτωκε πάντα
Κρ ατ ή σιππος"
p.petr;3;111,1,πυρων,TAX,0.0,TAX,no_positive+negative(TAX),"τὰ ἐ πάνω
γίνονται δραχμαὶ 36 5 πυρῶν
πέπτωκεν ἔτους 10 Μεχὶρ 9
τ"
p.petr;3;111,1,σιτου,TAX,0.0,TAX,no_positive+negative(TAX),"δραχμαὶ 3 2 γίνονται δραχμαὶ 23 4
σίτου φυλακι τικὸν 3 ἰατρι κὸν 2 στεφαν ικὸν"
p.petr;3;26,1,κριθηι,ADMIN,0.0,ADMIN,no_positive+negative(ADMIN),"ἐὰν δέ τις
παρὰ ταῦτα κρινῆι ἢ κριθῆι ἄκυρα ἔστω.
ἐὰν ἐμβῆι βοῦς ἢ ὑποζύγιον"
p.rev;;2nded,1,κριθηι,TAX,0.0,TAX,no_positive+negative(TAX),"τ ῆς διοικήσ εως
τε ταγμένο υ κριθῆι, κατὰ τ ὰ
α ὐτὰ γινέσ θω."
p.ryl;2;119,1,πυρου,TAX,0.0,TAX,no_positive+negative(TAX),"πλῆθος τῶν κατʼ ἔτος γενημάτων, δεκαρ
τάβου πυροῦ ὄντος κατʼ ἔτος τοῦ ἐκφορίου, ἀλλὰ καὶ τὰ"
p.ryl;4;558,1,σιτωι,RATION,0.0,RATION,no_positive+negative(RATION),", καὶ δὸς τοῖς 8 ἑκάστωι σὺν τῶι σίτωι εἰς τὸ ν πλοῦν ὀψώνιον
χαλκ ο"
p.ryl;4;602,1,πυρου,LOAN,0.0,LOAN,no_positive+negative(LOAN),"τόκου τ οῦ
π μ ῆ να πυροῦ ἑκατὸν 100 καὶ ἀποδ
ώσω ἀ ποδ"
p.stras;1;73,1,κριθην,RATION,0.0,RATION,no_positive+negative(RATION),"ἧς συνκομι
σας ἧς οὖν ἐκομισας κομισας κριθὴν πέμψον μοι διατροφὴν
ἡμ ῖν ἧ ς"
p.tebt;3.2;847,1,ολυρασ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"πυροῦ 491 1/2 , κ ριθῆς 1/2 , ὀλύρας
υπ υ πυρ ο ῦ 416 1/6"
p.tebt;3.2;847,1,πυρ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"κ ριθῆς 1/2 , ὀλύρας
υπ υ πυρ ο ῦ 416 1/6 1/24 1/2 1/12 ,"
p.tebt;3.2;847,1,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"φόρετρον, καθάρσεως καὶ κ οσκινευ τικοῦ
πυροῦ 119 1/6 , κριθῆς , ὀ λύρας 201"
p.tebt;3.2;847,1,κριθησ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"κ οσκινευ τικοῦ
πυροῦ 119 1/6 , κριθῆς , ὀ λύρας 201 1/2 ,
χειριστικὸν"
p.tebt;3.2;847,1,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"δʼ ἐ κ τῶν π λοίων Ψεν πυροῦ 100 , συ ν 1 , κο σκινευτικοῦ"
p.tebt;3.2;847,1,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"γωγῆς 1/2 1/4 , φόρετρον 6 , γίνονται πυροῦ 8 1/2 1/3 ."
sb;20;14450,1,σιτου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"ὰ Ἑρμείου τραπεζίτου τραπαιζείτου ὑ πὲρ ναύλου
σίτου δι ὰ Ἑρμοδώρου βοηθοῦ τάλαντα 6 δραχμαὶ 4000"
sb;6;9458,1,πυρου,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"ἐ
φʼ ὅρμον κατακομιζομένου τῆς κώμης
πυροῦ καὶ ἀντὶ τοῦ διδομένου ὑπʼ αὐτοῦ ναύ"
stud.pal;2;pg34,1,κριθησ,TRANSPORT,0.0,TRANSPORT,no_positive+negative(TRANSPORT),"ἀπεσχηκέναι
παρὰ σοῦ ὑπὲρ λόγου
ναύλου κριθῆς ἧς ἐνε
βαλόμην εἰς τὸ ἡμέτερον"
